File,Board,Model,Average Latency
latency_base_en.txt,Rasp4 4GB,base_en,113.46225999999999
latency_base_en_fp32.txt,Rasp4 4GB,base_en_fp32,104.00417999999999
latency_distil-small_en.txt,Rasp4 4GB,distil-small_en,197.8336
latency_distil-small_en_fp32.txt,Rasp4 4GB,distil-small_en_fp32,208.65598
latency_tiny_en.txt,Rasp4 4GB,tiny_en,53.96602
latency_tiny_en_fp32.txt,Rasp4 4GB,tiny_en_fp32,43.0293
openai_latency_base_en.txt,Rasp4 4GB,openai_base_en,177.87926000000002
openai_latency_tiny_en.txt,Rasp4 4GB,openai_tiny_en,81.79102
latency_base_en.txt,Rasp5 16GB,base_en,62.96410000000001
latency_base_en_fp32.txt,Rasp5 16GB,base_en_fp32,63.26408
latency_distil-small_en.txt,Rasp5 16GB,distil-small_en,125.4624
latency_distil-small_en_fp32.txt,Rasp5 16GB,distil-small_en_fp32,125.66460000000002
latency_tiny_en.txt,Rasp5 16GB,tiny_en,27.387219999999996
latency_tiny_en_fp32.txt,Rasp5 16GB,tiny_en_fp32,26.938799999999997
openai_latency_base_en.txt,Rasp5 16GB,openai_base_en,94.24190000000002
openai_latency_tiny_en.txt,Rasp5 16GB,openai_tiny_en,41.59964
latency_base_en.txt,Rasp5 4GB,base_en,52.18274
latency_base_en_fp32.txt,Rasp5 4GB,base_en_fp32,68.9429
latency_distil-small_en.txt,Rasp5 4GB,distil-small_en,96.68774
latency_distil-small_en_fp32.txt,Rasp5 4GB,distil-small_en_fp32,142.27714
latency_tiny_en.txt,Rasp5 4GB,tiny_en,19.86898
latency_tiny_en_fp32.txt,Rasp5 4GB,tiny_en_fp32,27.013299999999997
openai_latency_base_en.txt,Rasp5 4GB,openai_base_en,64.3066
openai_latency_tiny_en.txt,Rasp5 4GB,openai_tiny_en,28.20516
latency_base_en.txt,Rasp5 8GB,base_en,65.65698
latency_base_en_fp32.txt,Rasp5 8GB,base_en_fp32,57.82162000000001
latency_distil-small_en.txt,Rasp5 8GB,distil-small_en,116.54117999999998
latency_distil-small_en_fp32.txt,Rasp5 8GB,distil-small_en_fp32,117.70095999999998
latency_tiny_en.txt,Rasp5 8GB,tiny_en,26.13608
latency_tiny_en_fp32.txt,Rasp5 8GB,tiny_en_fp32,25.88028
openai_latency_base_en.txt,Rasp5 8GB,openai_base_en,111.40369999999999
openai_latency_tiny_en.txt,Rasp5 8GB,openai_tiny_en,40.4252
